from_no,to_no,date,time,duration,cell_1_id,cell_2_id,type,imei,imsi,roaming
7766422360,7794869300,7/6/2022,3:29 PM,377.52,200,208,3,62343606,70733709,3
7176076750,8121525370,7/7/2022,10:35 PM,132.51,200,202,1,91366137,23927175,3
7520419930,7126485740,7/3/2022,5:23 AM,200.29,200,205,2,45295296,94563444,7
7053432260,8370999300,7/4/2022,6:23 PM,39.49,200,202,3,47764864,38924709,6
7035893460,7846211600,7/7/2022,12:35 PM,256.76,200,202,2,50598344,88961684,5
8799199470,8204154720,7/5/2022,4:10 AM,290.12,200,206,1,82346755,43680090,5
8851225160,8966427530,7/2/2022,1:18 PM,447.86,200,209,2,29768036,56800887,7
7119089120,8381613530,7/6/2022,2:58 PM,353.81,200,202,4,82224127,57293212,9
7600974190,7511551550,7/5/2022,3:17 PM,362.64,200,203,1,51407515,76987744,7
8752867860,7317768490,7/3/2022,8:51 PM,38.60,200,203,2,55293596,92724196,3
7461817820,7912130460,7/7/2022,6:54 AM,379.32,200,201,3,23381250,93345073,4
8296890050,7913710760,7/2/2022,4:35 AM,144.35,200,202,2,92285726,30625713,3
8867744780,7895060010,7/1/2022,2:08 PM,435.95,200,208,2,13839791,86933543,5
7142775120,7419857610,7/8/2022,7:58 AM,58.54,200,207,4,33321107,29332734,5
7590451480,7959129910,7/6/2022,6:18 PM,322.40,200,201,2,10443193,85860846,1
7944649150,7440410320,7/4/2022,10:30 PM,351.15,200,207,3,97124608,77269473,4
8643462000,8345154620,7/7/2022,7:40 PM,336.92,200,208,4,88250571,80811895,9
7233403280,7265398490,7/8/2022,6:05 AM,293.85,200,209,2,99064036,26487403,2
7572129660,8351481850,7/4/2022,5:17 AM,221.85,200,201,1,70496663,86621460,6
8162283070,8331438140,7/1/2022,10:15 AM,427.73,200,201,3,73255245,62504736,1
8200029290,7095539120,7/6/2022,9:49 PM,437.39,200,200,1,84573682,46761298,5
7179371450,7116297670,7/4/2022,9:21 PM,63.25,200,205,3,90802940,16495345,8
7088381650,8265996230,7/3/2022,10:33 PM,9.79,200,206,4,23027204,65183530,5
8448591810,8505858800,7/2/2022,2:46 PM,27.30,200,209,4,35279135,80596507,7
7428199640,7762327750,7/1/2022,4:55 PM,460.47,200,200,4,17441038,25616309,3
8249230480,8179475780,7/3/2022,2:54 AM,44.07,200,203,4,99956527,93758219,3
7984665910,8424661620,7/6/2022,9:42 AM,60.00,200,207,4,70276923,69063763,2
8001878520,7650258880,7/7/2022,6:38 AM,386.55,200,204,1,75971553,63131071,5
8414215620,7704920940,7/7/2022,5:00 AM,473.38,200,201,3,70057150,54871994,6
8106720950,8703030740,7/3/2022,1:39 PM,358.63,200,205,1,37340931,96637219,3
8032023640,8719285430,7/9/2022,1:18 AM,282.64,200,209,4,56035070,26169110,7
7363504000,7234464820,7/1/2022,11:31 AM,23.35,200,200,1,46690677,23616087,6
8386929730,7289747810,7/9/2022,4:02 PM,162.77,200,203,2,43490495,20983251,8
7465924050,7965230090,7/2/2022,2:02 PM,498.56,200,204,4,40731003,83623231,1
